Date,Day,Event,Website,Notes
14-May-23,Sunday,Llanelli sprint - TENTATIVE ,http://www.healthylifeactivities.co.uk/llanelli-sprint-triathlon,
15-May-23,Monday,,,
16-May-23,Tuesday,,,
17-May-23,Wednesday,,,
18-May-23,Thursday,,,
19-May-23,Friday,,,
20-May-23,Saturday,Swansea Epic 10 k ,https://toughrunneruk.com/events/swansea-epic-trail-10k/,
20-May-23,Satuaray ,Carten,https://www.carten100.com/,
21-May-23,Sunday,Newtown 10k ,https://www.welshathletics.org/en/competition/current/view/clone-of-newtown-10k,
21-May-23,Sunday,Outlaw Half Nottingham,https://www.outlawtriathlon.com/nottingham-half/overview/,
21-May-23,Sunday ,TATA Steelman,https://www.porttalbotharriers.co.uk/events/,
22-May-23,Monday,,,
23-May-23,Tuesday,,,
24-May-23,Wednesday,,,
25-May-23,Thursday,,,
26-May-23,Friday,,,
27-May-23,Saturday,Swansea Swim - 750 m/ 1.9 k / 3k ,https://www.swanseaswim.com/,
28-May-23,Sunday,Swansea Triathlon,https://www.swanseatriathlon.com/,
29-May-23,Monday,,,
30-May-23,Tuesday,,,
31-May-23,Wednesday,,,
1-Jun-23,Thursday,,,
2-Jun-23,Friday,,,
3-Jun-23,Saturday,,,
4-Jun-23,Sunday,,,
5-Jun-23,Monday,,,
6-Jun-23,Tuesday,,,
7-Jun-23,Wednesday,,,
8-Jun-23,Thursday,,,
9-Jun-23,Friday,,,
10-Jun-23,Saturday,Challenge Wales - Half iron distance ,https://www.walestriathlon.com/,
10-Jun-23,Saturday ,Llanberis 1000M/2000m - Slateman swim 2023 ,https://alwaysaimhighevents.com/events/slateman-swim-2023/slateman-swim-1000m-2023,
10-Jun-23,Saturday,Fishguard sprint ,https://www.fishguardtriathlon.com/,
11-Jun-23,Sunday,Swansea Half Marathon ,https://www.welshathletics.org/en/competition/current/view/swansea,
12-Jun-23,Monday,,,
13-Jun-23,Tuesday,,,
14-Jun-23,Wednesday,,,
15-Jun-23,Thursday,,,
16-Jun-23,Friday,,,
17-Jun-23,Saturday,,,
18-Jun-23,Sunday,Widflower Brav Sprint Triatlon - Botanical gardens ,https://toughrunneruk.com/events/wildflower-sprint-triathlon/,
18-Jun-23,Sunday,Dragon Ride 60 / 97/ 120 / 190 Mile ,https://www.dragonride.co.uk/register-interest-,
19-Jun-23,Monday,,,
